ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
0.1572,0.0084,,0.0019,,0.3147,,,,,,0.4111,,0.7089,0.3221,,,,0.0158,,,,0.3256,,,,0.0013,,,,,0.0342,,,0.1009,,0.008,0.0128,,,,,0.0188,,,0.3452,,,,,,,,,,,,,,0.0008,,0.0064,,,0.129,,,,,,,,,0.0662,,0.0133,0.1309,0.2235,1.2683,0.8725
0.1347,0.005,,0.0004,,0.3092,,,,,,0.3921,,0.6765,0.2973,,,,0.0056,,,,0.2757,,,,,,,,,0.0124,,,0.0981,,0.0067,0.0109,,,,,0.0137,,,0.2703,,,,,,,,,,,,,,0.0002,,0.0037,,,0.1196,,,,,,,,,0.0623,,0.0115,0.1278,0.2029,0.9908,0.7298
0.1057,0.004,,0.0002,,0.2743,,,,,,0.3643,,0.6633,0.2466,,,,0.004,,,,0.2688,,,,,,,,,0.0111,,,0.0911,,0.0054,0.0079,,,,,0.0077,,,0.2419,,,,,,,,,,,,,,0,,0.0035,,,0.0955,,,,,,,,,0.0522,,0.0097,0.1203,0.1926,0.9293,0.702
0.0748,0.0033,,0,,0.2193,,,,,,0.3626,,0.6057,0.2302,,,,0.0026,,,,0.2356,,,,,,,,,0.0073,,,0.0849,,0.0018,0.0078,,,,,0.0057,,,0.2309,,,,,,,,,,,,,,0,,0.0027,,,0.0902,,,,,,,,,0.0436,,0.0067,0.1009,0.1789,0.5719,0.6685
0.0637,0.0022,,0,,0.1847,,,,,,0.3554,,0.5631,0.1758,,,,0.0009,,,,0.2198,,,,,,,,,0.0071,,,0.0734,,,0.0075,,,,,0.0055,,,0.2111,,,,,,,,,,,,,,0,,0.0025,,,0.0808,,,,,,,,,0.0401,,0.0044,0.0667,0.1663,0.5535,0.6562
0.0624,0.0009,,,,0.1725,,,,,,0.3554,,0.5517,0.1354,,,,0.0008,,,,0.1807,,,,,,,,,0.0044,,,0.0686,,,0.0071,,,,,0.0016,,,0.2019,,,,,,,,,,,,,,,,0.0025,,,0.0746,,,,,,,,,0.0384,,0.0039,0.0481,0.164,0.5236,0.5971
0.0613,0.0008,,,,0.1311,,,,,,0.3554,,0.5248,0.1208,,,,0.0003,,,,0.1541,,,,,,,,,0.0039,,,0.067,,,0.0042,,,,,0.0015,,,0.1752,,,,,,,,,,,,,,,,0.0023,,,0.0708,,,,,,,,,0.0382,,0.0033,0.0452,0.1613,0.522,0.5852
0.0579,0.0003,,,,0.1079,,,,,,0.2911,,0.5097,0.1057,,,,0.0002,,,,0.1076,,,,,,,,,0.0015,,,0.064,,,0.0032,,,,,0.0005,,,0.1727,,,,,,,,,,,,,,,,0.0022,,,0.0675,,,,,,,,,0.0341,,0.0032,0.0448,0.1497,0.5147,0.5498
0.0406,,,,,0.1004,,,,,,0.2856,,0.4572,0.1033,,,,0.0001,,,,0.1061,,,,,,,,,0.0006,,,0.0598,,,0.0013,,,,,,,,0.1663,,,,,,,,,,,,,,,,0.0019,,,0.0647,,,,,,,,,0.0331,,0.0028,0.0443,0.14,0.501,0.5451
0.0201,,,,,0.0944,,,,,,0.1944,,0.4564,0.0997,,,,0.0001,,,,0.1042,,,,,,,,,0.0002,,,0.0535,,,0.001,,,,,,,,0.1617,,,,,,,,,,,,,,,,0.0018,,,0.0189,,,,,,,,,0.0331,,0.0024,0.0438,0.1346,0.4861,0.5405
