ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
,,6578,,,,,,,,,31072,,653700,,,,,,,,,17009,,,,3204,,,,,,,,126026,,1700,,,,,,,,,186800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73792,7027,4086,77244
,,6051,,,,,,,,,30700,,631400,,,,,,,,,15210,,,,2545,,,,,,,,123289,,1300,,,,,,,,,185895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65490,6310,3500,75285
,,5850,,,,,,,,,30600,,626554,,,,,,,,,14378,,,,2516,,,,,,,,117787,,1200,,,,,,,,,184600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64904,6000,1372,75085
,,5394,,,,,,,,,30000,,571710,,,,,,,,,14100,,,,2104,,,,,,,,115000,,1000,,,,,,,,,183552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60942,4998,1183,75000
,,4369,,,,,,,,,28900,,553973,,,,,,,,,13395,,,,1895,,,,,,,,115000,,610,,,,,,,,,159609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59001,3365,1093,59900
,,4173,,,,,,,,,27600,,539300,,,,,,,,,12400,,,,1800,,,,,,,,97998,,574,,,,,,,,,152197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57371,2366,674,55598
,,4093,,,,,,,,,25806,,526685,,,,,,,,,11507,,,,1492,,,,,,,,95494,,555,,,,,,,,,148557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51423,2103,300,55000
,,3424,,,,,,,,,25560,,516521,,,,,,,,,10800,,,,500,,,,,,,,93979,,,,,,,,,,,135585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51225,729,214,51400
,,3415,,,,,,,,,24822,,511349,,,,,,,,,9996,,,,475,,,,,,,,92794,,,,,,,,,,,125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50201,700,181,49000
,,2935,,,,,,,,,23442,,490100,,,,,,,,,7119,,,,400,,,,,,,,90773,,,,,,,,,,,121082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47400,679,146,48190
,,1941,,,,,,,,,23200,,468700,,,,,,,,,6200,,,,,,,,,,,,88927,,,,,,,,,,,117400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44549,465,104,37517
,,1938,,,,,,,,,22708,,457850,,,,,,,,,5500,,,,,,,,,,,,87200,,,,,,,,,,,110260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41500,331,66,36200
,,1699,,,,,,,,,20500,,448057,,,,,,,,,4100,,,,,,,,,,,,82131,,,,,,,,,,,106137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40598,274,1,33915
,,1155,,,,,,,,,19035,,441700,,,,,,,,,3330,,,,,,,,,,,,81243,,,,,,,,,,,93463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36900,209,,33884
,,1124,,,,,,,,,16210,,409512,,,,,,,,,1667,,,,,,,,,,,,81000,,,,,,,,,,,91248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35749,4,,32176
,,1070,,,,,,,,,15687,,408100,,,,,,,,,1500,,,,,,,,,,,,75432,,,,,,,,,,,91201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30874,,,24600
,,985,,,,,,,,,14275,,397892,,,,,,,,,1413,,,,,,,,,,,,72405,,,,,,,,,,,90700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30807,,,23624
,,808,,,,,,,,,14169,,385912,,,,,,,,,333,,,,,,,,,,,,70914,,,,,,,,,,,90689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25938,,,23300
,,788,,,,,,,,,13525,,385463,,,,,,,,,312,,,,,,,,,,,,68413,,,,,,,,,,,88050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21731,,,23018
,,744,,,,,,,,,11577,,344938,,,,,,,,,,,,,,,,,,,,,64600,,,,,,,,,,,85400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21606,,,22826
,,646,,,,,,,,,11354,,335500,,,,,,,,,,,,,,,,,,,,,64282,,,,,,,,,,,84800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20538,,,22300
,,645,,,,,,,,,11354,,330723,,,,,,,,,,,,,,,,,,,,,59373,,,,,,,,,,,80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20487,,,21700
,,607,,,,,,,,,10700,,326466,,,,,,,,,,,,,,,,,,,,,56127,,,,,,,,,,,75037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20421,,,20153
,,520,,,,,,,,,7600,,323237,,,,,,,,,,,,,,,,,,,,,52100,,,,,,,,,,,71400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17811,,,20147
,,499,,,,,,,,,7340,,318946,,,,,,,,,,,,,,,,,,,,,51388,,,,,,,,,,,70100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17239,,,20000
,,439,,,,,,,,,6904,,303169,,,,,,,,,,,,,,,,,,,,,46828,,,,,,,,,,,67835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15213,,,20000
