ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
,,,,,,,,,,,,,Norges Bank Foreign Exchange Reserves,,,,,,,,,,,,,,,,,,,,,M Fund - International Equity Fund,,,,,,,,,,,GWL Equity Growth Fund 9.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Wellington Mgmt. Fds. (LU) - Global Opportunities Equity Fund,,,,,,,,,,,,,,,,,,,,,HSBC Canadian Small Cap Equity Pooled Fund,,,,,,,,,,,Mandarine Funds - Global Micro Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,BlackRock ACS I - World (ex-UK) Equity Tracker Fund,,,,,,,,,,,,,,,,,,,,,Empire Life Emblem Growth Portfolio,,,,,,,,,,,FMOQ Fonds de Placement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vanguard International Shares Index Fund (Hedged),,,,,,,,,,,,,,,,,,,,,Manulife Diversified Investment Fund,,,,,,,,,,,Palos Equity Income Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AST AllianzGI World Trends Portfolio,,,,,,,,,,,,,,,,,,,,,GWL Canadian Equity Index Fund,,,,,,,,,,,DFA International Sustainability Core 1 Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vanguard International Shares Index Fund,,,,,,,,,,,,,,,,,,,,,Mackenzie Canadian Equity Index ETF,,,,,,,,,,,Compass Growth Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vanguard MSCI Index International Shares ETF,,,,,,,,,,,,,,,,,,,,,iShares ESG Aware MSCI Canada Index ETF,,,,,,,,,,,IG Fiera Canadian Small Cap Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FDP Canadian Equity Portfolio,,,,,,,,,,,,,,,,,,,,,Empire Life Emblem Moderate Growth Portfolio,,,,,,,,,,,DFA International Small Cap Growth Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,New Zealand Superannuation Fund,,,,,,,,,,,,,,,,,,,,,Mawer Tax Effective Balanced Fund,,,,,,,,,,,Stone Growth Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Ferique Equity Fund,,,,,,,,,,,,,,,,,,,,,Dimensional Funds Plc - Global Sustainability Core Eq.,,,,,,,,,,,DFA World (ex-US) Core Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DFA TA World (ex-US) Core Equity Portfolio,,,,,,,,,,,,,,,,,,,,,AM One World Mid Small Cap Equity Fund,,,,,,,,,,,Fidelity Total International Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,NFU Mutual OEIC - Global Growth Fund,,,,,,,,,,,,,,,,,,,,,Compass Balanced Portfolio,,,,,,,,,,,Vanguard MSCI International Small Companies Index ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Robeco Boston Partners Global Equity Fund,,,,,,,,,,,,,,,,,,,,,Manulife Multifactor Canadian SMID Cap Index ETF,,,,,,,,,,,TD Canadian Equity Index ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Fidelity Global (ex-US) Index Fund,,,,,,,,,,,,,,,,,,,,,Empire Life Emblem Balanced Portfolio,,,,,,,,,,,Stone GaleForce Dividend Growth Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Gabelli Asset Fund (The),,,,,,,,,,,,,,,,,,,,,Compass Balanced Growth Portfolio,,,,,,,,,,,iShares III Plc - MSCI World Small Cap UCITS ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aviva Investors Invst. Fds. ICVC - Multi-Strategy Target Ret.,,,,,,,,,,,,,,,,,,,,,Empire Life Emblem Aggressive Growth Portfolio,,,,,,,,,,,CSIF Umbrella - World (ex-CH) Small Cap Index Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,iShares Tr. - MSCI ACWI ETF,,,,,,,,,,,,,,,,,,,,,AllianceBernstein Fund - Dynamic All Market Portfolio,,,,,,,,,,,Quadrus GWLIM Canadian Growth Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,BlackRock ISF - iShares Developed World Index Fund (IE),,,,,,,,,,,,,,,,,,,,,Imperial Canadian Equity Pool,,,,,,,,,,,CIBC Balanced Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,iShares Tr. - Edge MSCI Intl. Value Factor ETF,,,,,,,,,,,,,,,,,,,,,Compass Conservative Balanced Portfolio,,,,,,,,,,,Renaissance Canadian Core Value Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Fiera Capital Series Trust - Small/Mid Cap Growth Fund,,,,,,,,,,,,,,,,,,,,,Compass Growth Portfolio,,,,,,,,,,,Manulife Tax Managed Growth Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,MGI Funds Plc - Global Equity Fund,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced MSCI Canada Index ETF,,,,,,,,,,,Renaissance Canadian Equity Private Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Invesco FTSE RAFI Canadian Index ETF,,,,,,,,,,,,,,,,,,,,,Barreau du Quebec Section Equilibree,,,,,,,,,,,MDPIM S&P/TSX Capped Composite Index Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TD Canadian Equity Index ETF,,,,,,,,,,,,,,,,,,,,,GKB (CH) - Vorsorgefonds 45,,,,,,,,,,,Stone Global Balanced Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vanguard Invt. Fds. ICVC - FTSE Dev. World (ex-UK) Eq. Index,,,,,,,,,,,,,,,,,,,,,Compass Maximum Growth Portfolio,,,,,,,,,,,BlackRock IFS - iShares Wo. (ex-Switzerland) Sm.Ca.Eq.In. (CH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vanguard Investment Series Plc - Global Stock Index Fund,,,,,,,,,,,,,,,,,,,,,GKB (CH) - Vorsorgefonds 25,,,,,,,,,,,DFA International Social Core Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Fjarde AP Fonden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimensional Funds Plc - Global Core Equity Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aquila Three Peaks Opportunity Growth Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dimensional Funds Plc - World Equity Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Barometer Equity Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLP Aksjeglobal Small Cap Indeks I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Robeco Boston Partners Global Long/Short Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quadrus North American Specialty Class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Phillips Hager & North Canadian Growth Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scotia Canadian Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DFA International High Relative Profitability Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exemplar Canadian Focus Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Multi Units LU - Lyxor S&P 500 UCITS ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanguard International Small Companies Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AQR International Multi Style Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanguard International Small Companies Index Fund (Hedged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,IA Canadian Equity Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FMOQ Fonds actions canadiennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DFA World (ex-US) Core Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Street Global Equity (ex-US) Index Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CSIF Umbrella - Canada Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDC SICAV - Actions Monde Small Cap - Indexe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
