ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
90913,4545.46,,855,,77428.62,,,,,,1057293.26,,54554352.36,277400.8,,,,36939.29,,,,314921.74,,,,34041.31,,,,,8769.78,,,766721.16,,,698.54,,,,,447.06,,,1414892.79,,,,,,,,,,,,,,,307.84,117.14,,,,,,,,,,,,26334.28,,1426.84,126938,387879.04,1141807.5,2892000.71
88826.81,3910.38,,855,,51493.87,,,,,,996819.5,,48002157.12,266568.3,,,,34950.3,,,,221412.73,,,,33011.77,,,,,8193.48,,,713234.37,,,291.06,,,,,47.8,,,1372064.02,,,,,,,,,,,,,,,223.48,25.66,,,,,,,,,,,,21200.85,,1116.43,125248.97,306351.71,1026636.3,2862594.22
81755.29,3769.04,,855,,43452.02,,,,,,967475.88,,41410838.04,208716.36,,,,33569.23,,,,216363.73,,,,23989.18,,,,,3351.31,,,667921.99,,,258.72,,,,,,,,1308309.34,,,,,,,,,,,,,,,171.68,11.16,,,,,,,,,,,,14659.68,,1105.72,121054.03,264109.26,924996.6,2840257
66648.16,2911.58,,684,,36501.33,,,,,,818986.16,,40069915,208050.6,,,,31355.71,,,,212102.84,,,,17138.93,,,,,2568.29,,,575473.61,,,231,,,,,,,,1240705.54,,,,,,,,,,,,,,,157.62,1.12,,,,,,,,,,,,14269.59,,891.64,115562.5,214709.23,868457.25,2413256.36
51751.71,2261.42,,470.25,,32842,,,,,,789047.04,,37843000,125614.02,,,,26477.5,,,,202065.71,,,,8479.51,,,,,1691.32,,,522114.19,,,138.6,,,,,,,,1198169.86,,,,,,,,,,,,,,,141.34,,,,,,,,,,,,,11205.36,,849.36,115113.01,189745.58,716416.2,2196075
49633.46,1130.71,,413.82,,15048.75,,,,,,686530.48,,37599611.29,123186.76,,,,23677.24,,,,166075.57,,,,7563.25,,,,,1691.32,,,494192.68,,,69.3,,,,,,,,1197896.32,,,,,,,,,,,,,,,133.2,,,,,,,,,,,,,848.03,,687.2,111670.11,181818.3,711547.65,2193356.05
44998.5,1025.18,,384.75,,13960.15,,,,,,595507.2,,37081715.28,92277.38,,,,23617.93,,,,160433.89,,,,5181,,,,,826.87,,,488727.64,,,69.3,,,,,,,,977265.66,,,,,,,,,,,,,,,85.84,,,,,,,,,,,,,282.68,,552.86,107126.82,164848.59,697500,2091500
35252.26,158.3,,77.81,,13339.19,,,,,,547881.51,,36346454.9,86479.7,,,,19786.11,,,,156877.8,,,,4624.58,,,,,689.05,,,419169.92,,,36.96,,,,,,,,799444.22,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,535.2,94294.8,156291.01,637821.9,2091500
33919.48,,,54.72,,12777,,,,,,498126.89,,35412111.23,52345.53,,,,3933.5,,,,151534.06,,,,1702.57,,,,,626.41,,,365775.76,,,18.48,,,,,,,,697510.98,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,535.2,92382.75,145957.67,525022.2,2049670
29726.49,,,37.62,,7027.35,,,,,,422810.11,,35144503,43565.8,,,,3600.94,,,,139706.08,,,,1332.73,,,,,112.75,,,304514.02,,,12.01,,,,,,,,679652.64,,,,,,,,,,,,,,,31.82,,,,,,,,,,,,,,,535.2,86440,139394.03,516205.8,2030260.88
